id;name;calories_number;glycemic_index;protein_number;fat_number;carbohydrate_number
1709;Мальтоза;400;105;0;0;0
249;Финики ;290;100;2.5;0.5;69.2
1175;Сахар;398;100;0;0;99.7
1702;Глюкоза;400;100;0;0;100
156;Брюква ;34;99;1.2;0.1;8.9
879;Пастернак;47;97;1.4;0.5;9.2
907;Картофель жареный;192;95;3;9;23
903;Картофель печеный;70;95;2;0;15
908;Рисовая мука;356;95;7;0;80
78;Рис мгновенного приготовления сухой ;374;94;7.7;2.71;73
517;Абрикосы консервированные  ;50;91;2;0.3;15
1728;Крахмальная лапша;336;90;12.3;1.1;37.3
904;Картофельное пюре;380;90;11;6;77
194;Персики консервированные ;68;90;0.6;0.1;14.6
1769;Кукурузные палочки;467;85;4.7;13;82.9
11;Хлеб белковый пшеничный ;242;85;24.1;6.3;23.1
926;Морковь отварная;25;85;0.8;0.3;5
69;Кукурузные хлопья (корнфлекс) ;388;85;8.3;1.2;75
1431;Вареное сгущенное молоко;328;85;7.2;8.5;55.5
1420;Пропаренный рис;123;85;2.91;0.37;25.15
1516;Тапиока;159;80;1.4;0.3;38
909;Чипсы;536;80;7;11;53
1173;Марципан;479;80;6.8;21.2;65.3
1549;Крекер печенье;504;80;7;26;61
1172;Конфитюр;295;80;3.7;0.7;68
29;Сушки простые ;341;80;10.7;1.2;71.2
515;Ананасы консервированные ;57;80;0.1;0.1;14
1174;Повидло;250;80;0;0;65
1140;Бобы;33;80;5;0.1;8.5
1793;Топленое молоко;84;80;3;6;4.7
285;Молоко сгущенное с сахаром ;324;80;7.2;8.5;56
52;Мюсли ;371;80;6.2;6.6;70.6
516;Мандарины консервированные ;40;80;0.4;0.2;15.5
1167;Маршмэллоу;328;80;2.7;0.07;78.6
1141;Маш;300;80;23.5;2;46
1170;Конфеты;397;80;12;34;52
910;Вафли;350;80;4;25;65
1311;Газировка;48;80;0;0;11.7
1434;Мятный сироп;282;80;0;0;70
764;Зефир в шоколаде;396;80;2.2;12.3;68.7
752;Мед;400;80;0.8;0;81.5
90;Бобы сушеные белые сырые ;340;80;6;0.1;8.5
108;Бобы мунг сушеные невареные ;340;80;6;0.1;8.5
92;Бобы сушеные красные сырые ;343;80;6;0.1;8.5
1168;Ириски;395;80;3.3;7.5;81.8
94;Бобы зеленые ;33;80;5;0.1;8.5
939;Мастика;393;80;0;1;96
763;Зефир;304;80;0.8;0;78.5
940;Меренги;366;80;4;0.36;98
3;Хлеб из пшеничной муки высшего сорта ;254;75;7.6;0.8;49.2
4;Хлеб из пшеничной муки 1 сорта ;226;75;7.9;1;48.3
197;Арбуз ;25;75;0.6;0.1;5.8
950;Сухой завтрак;366;75;12;7.2;69.3
24;Рожки сдобные из пшеничной муки ;347;75;8.3;12.1;50.5
26;Сдоба с повидлом ;287;75;6.5;4.7;60
182;Сушеная свекла ;278;75;9;0.6;56.6
1517;Хлебцы ржаные;360;75;10;4.5;70
1397;Смесь цукатов;216;75;3;0;54.5
1122;Хлеб;254;75;7.6;0.8;49.2
151;Тыква ;29;75;1.3;0.3;7.7
869;Цукаты;216;75;3;0;54.5
1120;Сухари;331;74;16;1;70
1125;Батон;273;74;8;3;50
28;Сухари пшеничные ;331;74;16;1;70
829;Сухари панировочные;347;74;16;1.2;70
27;Сухари сливочные ;414;73;8.7;11;67
58;Кукуруза полевая сырая сушеная ;348;71;12.8;4;74.4
86;Крупа пшенная ;335;71;11.5;3.3;69.3
5;Хлеб из пшеничной муки 2 сорта ;220;70;8.6;1.3;45.2
306;Сырки творожные ;380;70;9.07;24.67;25.1
1099;Пшеничная крупа;332;70;16;1;70
1108;Ржаная мука;305;70;6.9;1.4;66.3
886;Шоколад;550;70;5.4;35.3;57.6
22;Булка сдобная ;252;70;8.7;3.6;55.8
23;Сдобная выпечка ;300;70;7.8;4;16.3
25;Сдоба обыкновенная ;288;70;8.4;5.6;55.7
1090;Кукуруза;119;70;3.9;1.3;22.7
1116;Песочное тесто;379;70;7.2;12.7;59
42;Дробленая пшеница сухая твердая красная ;359;70;13.95;2.76;71.4
305;Сырковая масса ;207;70;12;16.5;9.5
765;Абрикосовый джем;265;70;0.8;0;64
905;Картофель отварной;82;70;2;0;17
51;Зерно сорго ;332;70;10.6;4.12;59.6
758;Шоколад сливочный;560;70;6.4;36.4;53.7
825;Патока;296;70;0;0.3;78.3
59;Кукуруза полевая сладкая желтая сырая ;96;70;3.2;1;18.6
61;Кукуруза полевая вареная в початках ;91;70;3.5;1.4;18.9
