id;name;image_id
3;Соус барбекю домашний;4450
5;Спайси соус для роллов домашний;4452
6;Соус сальса классический;4453
7;Соус бешамель для лазаньи классический;4454
8;Маринад горчица соевый соус мед;4455
9;Соус к гречке;4456
10;Сливочно сырный соус;4457
11;Соус для шавермы классический;4458
14;Соус Сацебели к мясу;4461
18;Соус для греческого салата в домашних условиях;4465
22;Соус Польский для рыбы;4469
25;Брусничный соус к мясу на зиму;4472
26;Соус Альфредо для пасты;4473
27;Кисло-сладкий соус с ананасами китайский;4474
30;Домашний соус Краснодарский на зиму;4477
33;Вишневый соус к мясу;4480
34;Лимонный соус;4481
35;Масляно яичный соус;4482
37;Сметанно чесночный соус;4484
41;Домашний хлеб на сковороде;4488
42;Панкейки на молоке пышные;4489
43;Пышные оладьи на дрожжах и молоке;4490
44;Орешки с вареной сгущенкой в орешнице на газу;4491
46;Блины на молоке тонкие с дырочками;4493
47;Сырники из творога с мукой на сковороде;4494
49;Блины на кефире с кипятком тонкие;4496
50;Королевская ватрушка с творогом в духовке классическая;4497
62;Рождественское имбирное печенье;4509
63;Хворост классический;4510
70;Панкейки на кефире пышные;4517
73;Пышные лепешки на кефире на сковороде;4520
75;Вафли хрустящие в вафельнице;4522
76;Чебуреки на сковороде с мясом;4523
79;Печенье из творога треугольники с сахаром в духовке;4526
80;Плюшки с сахаром из дрожжевого теста Московские;4527
84;Сдобная выпечка Булочки дрожжевые на молоке;4531
87;Торт Зебра в духовке на кефире;4534
88;Хачапури с творогом в духовке;4535
93;Печенье Савоярди в домашних условиях;4540
94;Быстрое дрожжевое тесто в холодильнике в пакете;4541
95;Дрожжевые пирожки на сковороде жареные;4542
96;Бисквит классический в духовке;4543
98;Соленое печенье;4545
101;Оладьи из говяжьей печени;4548
104;Бисквитный рулет с кремом Ураган;4551
105;Чебуреки из заварного теста;4552
106;Тыквенные кексы;4553
108;Яблоки запеченные в дрожжевом тесте в духовке;4555
113;Банановые панкейки;4560
119;Горбуша в кляре на сковороде;4566
123;Блины на молоке с яйцами тонкие;4570
126;Черный хлеб из ржаной и пшеничной муки в духовке;4573
127;Пирог с яблоками из дрожжевого теста в духовке;4574
133;Пышные оладьи на кефире с содой и яйцами;4580
135;Жареные пирожки с капустой на сковороде;4582
139;Хачапури по мегрельски настоящий;4586
140;Оладьи с яблоками на кефире;4587
141;Штрудель с яблоками классический;4588
142;Пышные сладкие булочки в духовке;4589
147;Филе минтая в кляре на сковороде;4594
148;Плюшки из дрожжевого теста в духовке;4595
150;Лепешки без дрожжей;4597
151;Творог с яйцом завтрак ПП за 5 минут;4598
154;Пирожки на кефире в духовке;4601
155;Домашний французский багет в духовке;4602
156;Украинские пампушки с чесноком к борщу в духовке на дрожжах;4603
159;Белый хлеб в духовке;4606
162;Миндальное печенье классическое;4609
164;Пончики из творога;4611
165;Быстрые сахарные булочки на сухих дрожжах;4612
171;Пончики на сковороде на дрожжах домашние;4618
172;Пирог с рыбой в духовке из дрожжевого теста;4619
173;Узбекская катлама с луком лепешки из слоеного теста;4620
175;Заливной пирог с фаршем на кефире;4622
177;Чуррос испанский во фритюре;4624
178;Перемячи из готового дрожжевого теста с бараниной;4625
179;Печенье с предсказаниями китайское;4626
181;Заливной пирог с яблоками в духовке;4628
183;Творожные шарики жареные в масле;4630
185;Пончики жареные в масле сладкие;4632
189;Оладьи без дрожжей на молоке пышные;4636
190;Новогодний пирог зимний пряный;4637
195;Выпечка булочек с сахаром из сдобного дрожжевого теста;4642
198;Булочки с повидлом из дрожжевого теста в духовке;4645
199;Красные блины;4646
200;Шоколадный мусс на десерт;4647
201;Десерт в стакане слоями;4648
203;Крем десерт;4650
205;Чернослив с грецким орехом в сметане десерт;4652
206;Десерт Желе из агар агара;4653
207;Цукаты из апельсиновых корок на десерт;4654
208;Жареные бананы на сковороде на десерт;4655
209;Запеченная айва с грецкими орехами  горячий десерт;4656
210;Тыква с изюмом в духовке на десерт;4657
212;Десерт из ряженки с желатином;4659
214;Запеченные яблоки с корицей в духовке на десерт;4661
215;Апельсины с корицей десерт;4662
216;Арахисовая паста домашняя на десерт;4663
218;Зефир без сахара на агар агаре ПП десерт;4665
223;Молочный десерт с желатином;4670
224;Творожно банановый десерт;4671
225;Итальянская меренга на десерт;4672
227;Банановые чипсы в домашних условиях в духовке десерт;4674
228;Шоколадное суфле горячий десерт;4675
229;Апельсиновое желе десерт из апельсин;4676
230;Яблоки кусочками в духовке с корицей и сиропом на десерт;4677
234;Желе из клубники с желатином десерт;4681
236;Запеченные яблоки в мультиварке десерт;4683
238;Десерт из яиц и молока;4685
239;Творожный десерт без выпечки и без желатина;4686
240;Фруктовый салат десерт из бананов и яблок;4687
242;Ягодный десерт;4689
249;Желейный десерт с фруктами;4696
