id;text;dish_id
4;***Шаг 1:***Подготовить продукты. Вода обычная из-под крана или фильтрованная. Масло можно брать даже из морозильника. Мёд можно брать как жидкий, так и густой, но натуральный.***Шаг 2:***Соус готовится очень быстро, поэтому всё необходимое надо приготовить сразу. Взвесить кетчуп и мёд, выжать сок лимона, зубчики чеснока пропустить через пресс, а лук мелко нарезать. Зелень помыть, обсушить и тоже мелко нарезать.***Шаг 3:***Растопить сливочное масло. Режем его на небольшие кусочки и кладём на холодную сковороду, затем только включаем средний нагрев. Так масло начинает плавно топиться и не подгорит.***Шаг 4:***Не дожидаемся, когда масло растопится полностью и забрасываем лук. Обжариваем лук примерно 6 минут, не забываем помешивать. Как только лук стал прозрачным и начинает золотиться - добавить кетчуп. Перемешивая, жарим пока он начнёт схватываться, это пара минут.***Шаг 5:***Заливаем воду, добавляем мёд, сок лимона и перец, перемешиваем.***Шаг 6:***Убавить нагрев на минимальный или чуть выше, соус должен тихонько кипеть, без всплесков и замираний. Постоянно помешивая варим 8 - 10 минут.***Шаг 7:***Снимаем с плиты и добавляем чеснок.***Шаг 8:***Затем измельчённую зелень. / Я добавила по паре веточек укропа и кинзы, только самые нежные листики, без стеблей. Зелень можно заменить по предпочтению, но лучше вкус будет со свежей/. Перемешать, попробовать на вкус и при необходимости добавить соль, перец, чеснок. Затем вернуть на тёплую плиту и немного прогреть, не давая закипать.***Шаг 9:***Готовый соус имеет насыщенный красно - оранжевый цвет. Проведите лопаткой по дну сковороды, если образуется дорожка и тут же смыкается  - консистенция правильная, гуще уваривать не надо. Вкус соуса томатный, кисло - сладкий, с выраженной чесночной ноткой. Присутствует острота, но не жгучая, небольшой медовый привкус и аромат трав. Палитра вкуса многогранна, но всё в меру и сочетание гармонично.***Шаг 10:***Соус остудить и можно подавать к любому мясу, колбасам, котлетам,  макаронным изделиям, рису.. Можно переложить в баночку и хранить в холодильнике или взять на природу, на то он и соус барбекю.;3
7;***Шаг 1:***Подготовьте продукты для приготовления соуса. Майонез берите с самым высоким процентом жирности, какой найдете. Нужен очень густой майонез. Вместо соуса чили подойдет молотый перец, возьмите половину чайной ложки. Если не будет кунжутного масла, используйте обычное растительное. Но с кунжутным вкуснее. Икра мойвы - довольно редкий продукт на полках магазинов. Я взяла подкопченный вариант в соусе, такой продается везде.***Шаг 2:***Возьмите небольшую пиалу. Положите в нее майонез, добавьте соус чили.***Шаг 3:***Перемешайте продукты силиконовой лопаткой. Ей размешивать удобнее всего - она очень хорошо очищает стенки посуды и не влияет на структуру размешиваемых продуктов.***Шаг 4:***Добавьте кунжутное масло и соевый соус. Снова перемешайте все до однородности.***Шаг 5:***Очистите дольки чеснока от шелухи. Натрите его на самой мелкой терке сразу в соус. Или пропустите через пресс для чеснока. Хорошенько перемешайте.***Шаг 6:***Последней добавкой будет икра мойвы. Если вы вдруг купите икру летучей рыбы - тобико, то будет прекрасно! Настоящий спайси соус делается с ней. Она иногда встречается в продаже. Не нашли - ищите икру мойвы. Не нашли мойвы - используйте любую рыбную икру. Главное, чтобы она было мелкой.***Шаг 7:***Перемешайте окончательно все ингредиенты. Соус должен получиться очень однородной, шелковистой консистенции, нежного светло-лососевого цвета. Соус готов к употреблению. Если вы хотите запечь с ним роллы или суши, то положите сверху на них по ложечке соуса и запекайте 5-10 минут.;5
9;***Шаг 1:***Подготовьте продукты по списку. Лук можно использовать белый репчатый или красный. Помидоры выбирайте спелые, мясистые, сочные и ароматные. От вкуса томатов во многом будет зависеть вкус соуса.***Шаг 2:***Помойте и обсушите бумажными полотенцами помидоры. Очистите белый или красный лук от шелухи. Нарежьте их крупными дольками. Поместите на противень, немного сбрызните рафинированным подсолнечным маслом с высокой температурой дымления. Заранее разогрейте духовку до 180 градусов и запекайте овощи примерно 30 минут. Можно добавить зубчики чеснока, если хотите получить более мягкий вкус сальсы и перец халапеньо.***Шаг 3:***Подпеченные овощи достаньте, немного остудите и переложите в чашу блендера. Если блендера у вас нет, прокрутите овощи через мясорубку.***Шаг 4:***Добавьте остальные компоненты: соль, лимонный сок, семена тмина, нарезанную крупно зелень кинзы. Из острого перца удалите семена и также отправьте в чашу. Его количество регулируйте по своему вкусу, но не переусердствуйте. Учтите, что острота соуса проявится со временем, поэтому соблюдайте чувство меры. Прокрутите содержимое до однородности, используя режим пульсации и делая паузу каждые 10 секунд. Это нужно для того, чтобы оценить консистенцию соуса.***Шаг 5:***Вот и все! Классическая сальса готова! Попробуйте ее на вкус. Если хотите, добавьте натертый свежий чеснок (2-3 зубчика), подсолите по вкусу, можно немного подсахарить, если помидоры попались кислые. Влейте сок лайма или лимона (примерно 1 ст. л.). Он смягчит остроту соуса. В общем, доведите блюдо до привычного вам вкуса.***Шаг 6:***Подавайте получившийся соус к мясным, рыбным блюдам, запеченной птице и дичи, а можно просто с хлебом, макаронами, картофелем, лепешками или чипсами. Соус можно сразу подавать к столу или хранить в холодильнике, в герметичной емкости до 3 дней.;6
11;***Шаг 1:***Подготовьте продукты. Масло для бешамель берите только высококачественное, лучше, если его жирность будет 82,5%. Такое масло содержит меньше влаги, что лучшим образом скажется на качестве соуса.***Шаг 2:***Посуду для приготовления соуса возьмите с толстым дном, так как он будет достаточно густым и может подгореть при нагревании. Бешамель готовится при постоянном помешивании, поэтому посуда не должна бояться царапанья, учитывайте и это. Масло положите в посуду и поставьте на маленький огонь. Растопите масло, не доводя до кипения.***Шаг 3:***Всыпьте в масло муку. Сразу же начните интенсивно размешивать ее венчиком. Не снимая с огня и при непрерывном помешивании прожарьте мучную смесь несколько минут до легкого орехового аромата. Ни на минуту не отходите от плиты, мука может начать гореть.***Шаг 4:***Тонкой струйкой влейте молоко. Делайте это аккуратно, интенсивно работая венчиком, масса должна стать однородной, без комочков. Если у вас нет опыта в приготовлении соуса, то предварительно подогрейте молоко, тогда оно будет смешиваться лучше.***Шаг 5:***Когда все молоко будет влито, продолжайте варить соус, непрерывно помешивая. Через пять минут он начнет заметно густеть.***Шаг 6:***Всыпьте в соус соль, перец и мускатный орех. Перемешайте. Сначала специи будут неохотно расходиться в соусе, не волнуйтесь, они в конце концов размешаются. Продолжайте варить соус в течении еще пяти минут до желаемой консистенции. Не забывайте мешать! Чем гуще соус, тем легче он подгорает.***Шаг 7:***Соус готов. Его надо использовать практически сразу, иначе на его поверхности образуется молочная пенка. Если вы готовите соус заранее, то обязательно накройте его сверху пищевой пленкой так, чтобы она плотно прилегала к поверхности.;7
15;***Шаг 1:***Как сделать соус к гречке? Подготовьте для этого необходимые ингредиенты. Помидоры берите красные и очень спелые. Именно от их спелости будет зависеть вкус готового соуса. Пропорции всех овощей примерные. Их с легкостью можно немного изменить по своему вкусу.***Шаг 2:***Лук и морковь очистите от кожуры и ополосните в проточной воде от загрязнений. Лук мелко нарежьте, а морковь натрите на крупной терке. Разогрейте сковороду до горячего состояния и налейте немного растительного масла. Выложите измельченные морковь и лук. Обжаривайте все вместе 3-5 минут. За время жарки лук станет прозрачнее, а морковь станет мягче и светлее. Готовую зажарку снимите с огня и оставьте остывать.***Шаг 3:***Подготовим помидоры. Если они у вас крупные и толстокожие, то шкурку с них необходимо снять. Для этого сделайте на помидорах надрезы и опустите их в кипяток на пару секунд. После этого кожура легко с них снимется. У меня помидоры небольшие и только с куста, поэтому шкурка у них очень мягкая. Такие помидоры можно сразу использовать в соус. Нарежьте помидоры на ломтики, удалив плодоножку. Нарезанные помидоры выложите в измельчитель.***Шаг 4:***Болгарский перец очистите от семечек и нарежьте на кусочки. Добавьте его к помидорам.***Шаг 5:***Выложите остывшую поджарку.***Шаг 6:***Несколько зубчиков чеснока очистите, ополосните и добавьте к овощам. Добавьте зелень. Кстати, зелень можно использовать любую. Я беру укроп. Но его можно заменить или дополнить петрушкой, кинзой или базиликом.***Шаг 7:***Все ингредиенты измельчите в однородную массу. По вкусу добавьте соль и молотый перец. Можно добавить немного сушеных ароматных трав. Попробуйте соус. Может быть понадобится немного сахара. Снова все смешайте.***Шаг 8:***Соус готов! Переложите его в соусник и подавайте к столу.Приятного аппетита!;8
17;***Шаг 1:***Как сделать сливочно-сырный соус? Подготовьте продукты. Пармезан относится к твердым сырам, натирать его в домашних условиях весьма утомительно и трудоемко, поэтому желательно приобрести сразу натертый сыр. Если вы не нашли пармезан, то замените его на любой другой твердый сыр.***Шаг 2:***На сковородке растопите сливочное масло. Огонь сделайте минимальным, чтобы оно не сгорело.***Шаг 3:***Аккуратно добавьте пшеничную муку. Помешивая, обжарьте муку в масле до золотистого оттенка.***Шаг 4:***Осторожно начните добавлять сливки. Вливайте их небольшими порциями и сразу же размешивайте соус лопаткой, чтобы не образовывались комочки. Продолжайте до тех пор, пока не закончатся сливки.***Шаг 5:***В практически готовый соус добавьте соль (с учетом солености сыра) и черный молотый перец. Также можете положить немного тертого мускатного ореха для получения более богатого вкуса и аромата. Добавьте в соус натертый сыр пармезан, перемешайте до получения однородной массы.***Шаг 6:***Если соус вам покажется слишком густым, то можете добавить еще немного сливок или молоко до получения нужной консистенции.Подавать такой соус желательно сразу после приготовления, хотя в остывшем или охлажденном виде он также хорош.Приятного аппетита!;9
19;***Шаг 1:***Подготовьте все необходимые продукты. Для того, чтобы соус получился густой и не растекался, берите молочные продукты с высоким процентом жирности, а еще лучше - домашнего приготовления. Так, жирность ряженки должна быть не менее 4%, а еще лучше - 6%. А сметаны - не менее 30%, так, чтобы ложка в ней стояла. Также и майонез, предпочтительней собственного приготовления, в магазинном не только нет пользы, но один сплошной вред!***Шаг 2:***В посуде для приготовления соуса смешайте до однородного состояния. ряженку, сметану и майонез.***Шаг 3:***Из лимона нам понадобится только сок, поэтому можно взять и готовый лимонный сок фабричного производства. Если же будете выжимать сок непосредственно из лимона, предварительно помойте его очень горячей водой, - так лимон отдаст гораздо больше сока. И следите за тем, чтобы косточки из него не попали в соус, - тут вам поможет сито.***Шаг 4:***Посолите соус по вкусу. Я использую обычную морскую соль, но это может быть и соль с добавками, например, адыгейская соль.***Шаг 5:***Добавьте сахар. Вообще, сахар рекомендуют добавлять во все блюда, куда вы добавляете соль, для более сбалансированного вкуса. Конечно, это должна быть не огромная ложка сахара, а всего лишь щепотка.***Шаг 6:***Добавьте измельченный чеснок. Я пропустила его через пресс. Но также можно мелко порубить его ножом или натереть на мелкой терке. При отсутствии свежего чеснока, добавляйте чесночный порошок, хотя соус со свежем чесноком, конечно, намного вкуснее и полезнее.***Шаг 7:***Добавьте хмели-сунели. Эта приправа традиционно добавляется в классический рецепт такого соуса, но по вашему желанию, это также может быть и уцхо-сунели, сушеная и свежая зелень, и какие-то другие травы и приправы по вашему вкусу. Перемешайте до однородного состояния и используйте для приготовления шавермы или для других блюд и салатов.***Шаг 8:***Соус получается очень густой, насыщенный и ароматный.Приятного аппетита!;10
23;"***Шаг 1:***Соус ""Сацибели"" - гордость Грузинской кухни. Он будет отличным дополнением к разным блюдам, которые находятся на вашем столе.Итак, смотрим, как приготовить соус Сацебели к мясу. Для начала мы готовим все ингредиенты и раскладываем их на столе, чтобы все они были под рукой.***Шаг 2:***Сначала мы очищаем чеснок, после чего затем измельчаем его ножом, пропускаем через пресс или трем на мелкой терке. Поступайте наиболее удобным для вас способом.***Шаг 3:***Хорошенько промываем укроп, петрушку и ароматную кинзу.***Шаг 4:***Промытую зелень немного высушиваем на салфетке, чтобы убрать лишнюю жидкость.***Шаг 5:***Просушенную зелень мелко рубим ножом.***Шаг 6:***В неглубокую посудину наливаем томатный соус и аджику по-грузински.***Шаг 7:***Перемешиваем.***Шаг 8:***Затем добавляем зелень, то есть, нашинкованную петрушку, кинзу и укроп.***Шаг 9:***Все хорошенько перемешиваем и добавляем воду. Не забудьте посолить по вкусу! Все еще раз перемешиваем тщательно и подаем к любой еде, особенно к баранине и другим мясным блюдам.***Шаг 10:***Приятного аппетита!";11
28;***Шаг 1:***Как сделать соус для греческого салата в домашних условиях? Сначала подготовьте продукты для него, а затем уже сам салат, чтобы осталось только заправить его и сразу же подать к столу. Помойте лимон, разрежьте его пополам поперек. Возьмите одну половинку, удалите косточки и выдавите из нее лимонный сок любым способом. Это можно сделать руками, с помощью вилки, но удобнее всего воспользоваться соковыжималкой для цитрусовых.***Шаг 2:***Теперь очистите чеснок от шелухи. Дольки чеснока измельчите через пресс. Если планируете есть салат сразу, то замешивайте соус в небольшой мисочке. Если же вы хотите приготовить только заправку, а салат позже, то можете использовать маленькую баночку с крышкой, на дно которой выложите измельченный чеснок, а точнее чесночную кашицу.***Шаг 3:***Затем всыпьте немного соли, щепотку перца и 1 чайную ложку орегано. Количество специй регулируйте по своему вкусу.***Шаг 4:***Теперь в мисочку или банку влейте ранее выжатый сок из лимона.***Шаг 5:***Далее специи и лимонный сок залейте оливковым маслом. Вместо оливкового масла вы можете использовать любое растительное по вкусу. Все составляющие соуса тщательно перемешайте вилкой. Если соус вы замешиваете в баночке, то закройте ее крышкой и несколько раз встряхните, чтобы ингредиенты равномерно распределись в заправке.***Шаг 6:***Соус для греческого салата готов! Заправьте им салат и подавайте на стол. Если вы готовили его в баночке и сразу салат заправлять не собираетесь, то закройте баночку крышкой и поставьте ее в холодильник. Приятного аппетита!;14
33;***Шаг 1:***Для приготовления Польского соуса нам понадобятся: сливочное масло, яйца, лимон, соль и зелень петрушки.***Шаг 2:***Варим яйца вкрутую не менее 10 минут после закипания воды.***Шаг 3:***С остывших яиц снимаем скорлупу и тщательно измельчаем.***Шаг 4:***Мелко нарезаем зелень петрушки.***Шаг 5:***Выдавливаем сок из лимона с помощью соковыжималки. При отсутствии соковыжималки сильно сжимаем половинку лимона рукой.***Шаг 6:***Растапливаем на сковороде сливочное масло на среднем огне, постоянно помешивая лопаткой, чтобы оно не пригорело. Доводим масло до жидкого состояния и уменьшаем огонь до маленького.***Шаг 7:***Добавляем к маслу нарезанную петрушку и яйца, солим и добавляем лимонный сок. Продолжаем варить, постоянно помешивая, еще около 3 минут. Снимаем сковородку с огня.***Шаг 8:***Польский соус готов. Приятного аппетита!;18
