id;weight;product_id;dish_id
14;180.0;812;3
15;300.0;1304;3
16;300.0;133;3
17;70.0;3149;3
18;40.0;4869;3
19;20.0;1333;3
20;25.0;6428;3
21;1.25;783;3
22;-1;6369;3
23;-1;1239;3
24;180.0;812;3
25;300.0;1304;3
26;300.0;133;3
27;70.0;3149;3
28;40.0;4869;3
29;20.0;1333;3
30;25.0;6428;3
31;1.25;783;3
32;-1;6369;3
33;-1;1239;3
34;100.0;52540;5
35;5.0;946;5
36;15.0;784;5
37;5.0;1293;5
38;50.0;1621;5
39;10.0;6428;5
40;100.0;52540;5
41;5.0;946;5
42;15.0;784;5
43;5.0;1293;5
44;50.0;1621;5
45;10.0;6428;5
46;300.0;131;6
47;100.0;133;6
48;20.0;826;6
49;15.0;6428;6
50;5.0;786;6
51;-1;1266;6
52;15.0;1333;6
53;40.0;3144;6
54;20.0;1236;6
55;300.0;131;6
56;100.0;133;6
57;20.0;826;6
58;15.0;6428;6
59;5.0;786;6
60;-1;1266;6
61;15.0;1333;6
62;40.0;3144;6
63;20.0;1236;6
64;800.0;52537;7
65;80.0;3149;7
66;80.0;1369;7
67;-1;1266;7
68;-1;783;7
69;-1;821;7
70;800.0;52537;7
71;80.0;3149;7
72;80.0;1369;7
73;-1;1266;7
74;-1;783;7
75;-1;821;7
76;60.0;784;8
77;60.0;4680;8
78;60.0;4869;8
79;10.0;6428;8
80;-1;1266;8
81;60.0;784;8
82;60.0;4680;8
83;60.0;4869;8
84;10.0;6428;8
85;-1;1266;8
86;200.0;131;9
87;150.0;1368;9
88;150.0;129;9
89;150.0;52543;9
90;15.0;6428;9
91;50.0;1230;9
92;20.0;52544;9
93;-1;1266;9
94;-1;783;9
95;200.0;131;9
96;150.0;1368;9
97;150.0;129;9
98;150.0;52543;9
99;15.0;6428;9
100;50.0;1230;9
101;20.0;52544;9
102;-1;1266;9
103;-1;783;9
104;200.0;1079;10
105;50.0;52541;10
106;15.0;915;10
107;-1;783;10
108;-1;1266;10
109;200.0;1079;10
110;50.0;52541;10
111;15.0;915;10
112;-1;783;10
113;-1;1266;10
114;150.0;292;11
115;30.0;52542;11
116;30.0;52540;11
117;5.0;6428;11
118;-1;788;11
119;-1;1266;11
120;10.0;1175;11
121;50.0;52546;11
122;150.0;292;11
123;30.0;52542;11
124;30.0;52540;11
125;5.0;6428;11
126;-1;788;11
127;-1;1266;11
128;10.0;1175;11
129;50.0;52546;11
133;250.0;5168;14
134;62.5;1304;14
135;3.0;6230;14
136;15.0;6428;14
137;100.0;792;14
138;-1;1266;14
139;1.0;6369;14
140;3.0;1236;14
141;250.0;5168;14
142;62.5;1304;14
143;3.0;6230;14
144;15.0;6428;14
145;100.0;792;14
146;-1;1266;14
147;1.0;6369;14
148;3.0;1236;14
150;50.0;525;18
151;50.0;52546;18
152;10.0;6428;18
153;-1;1248;18
154;-1;783;18
155;-1;1266;18
156;50.0;525;18
157;50.0;52546;18
158;10.0;6428;18
159;-1;1248;18
160;-1;783;18
161;-1;1266;18
177;200.0;3149;22
178;50.0;52546;22
179;165.0;52547;22
180;1.5;1266;22
181;1.0;6230;22
182;200.0;3149;22
183;50.0;52546;22
184;165.0;52547;22
185;1.5;1266;22
186;1.0;6230;22
187;500.0;236;25
188;100.0;200;25
189;100.0;1368;25
190;100.0;923;25
191;45.0;4869;25
192;15.0;525;25
193;500.0;236;25
194;100.0;200;25
195;100.0;1368;25
196;100.0;923;25
197;45.0;4869;25
198;15.0;525;25
199;200.0;1079;26
200;50.0;52541;26
201;20.0;3149;26
202;-1;783;26
203;-1;1266;26
204;200.0;1079;26
205;50.0;52541;26
206;20.0;3149;26
207;-1;783;26
208;-1;1266;26
209;200.0;205;27
210;150.0;1179;27
211;50.0;784;27
212;30.0;812;27
213;30.0;52538;27
214;15.0;1175;27
215;15.0;817;27
216;200.0;205;27
217;150.0;1179;27
218;50.0;784;27
219;30.0;812;27
220;30.0;52538;27
221;15.0;1175;27
222;15.0;817;27
234;800.0;131;30
235;300.0;212;30
236;60.0;1304;30
237;2.5;783;30
238;15.0;806;30
239;20.0;4852;30
240;1.6500000000000001;777;30
241;1.6500000000000001;821;30
242;2.5;1266;30
243;5.0;1175;30
244;22.5;52537;30
245;15.0;6428;30
246;800.0;131;30
247;300.0;212;30
248;60.0;1304;30
249;2.5;783;30
250;15.0;806;30
251;20.0;4852;30
252;1.6500000000000001;777;30
253;1.6500000000000001;821;30
254;2.5;1266;30
255;5.0;1175;30
256;22.5;52537;30
257;15.0;6428;30
264;150.0;1617;33
265;150.0;923;33
266;30.0;1304;33
267;15.0;1175;33
268;5.0;817;33
269;5.0;3149;33
270;150.0;1617;33
271;150.0;923;33
272;30.0;1304;33
273;15.0;1175;33
274;5.0;817;33
275;5.0;3149;33
276;20.0;981;34
277;5.0;1447;34
278;50.0;3149;34
279;10.0;790;34
280;15.0;1333;34
281;30.0;1304;34
282;-1;1230;34
283;20.0;981;34
284;5.0;1447;34
285;50.0;3149;34
286;10.0;790;34
287;15.0;1333;34
288;30.0;1304;34
289;-1;1230;34
290;150.0;3149;35
291;40.0;981;35
292;30.0;1304;35
293;-1;1333;35
294;-1;1266;35
295;150.0;3149;35
296;40.0;981;35
297;30.0;1304;35
298;-1;1333;35
299;-1;1266;35
300;200.0;52542;37
301;10.0;6428;37
302;15.0;6369;37
303;2.5;1266;37
304;200.0;52542;37
305;10.0;6428;37
306;15.0;6369;37
307;2.5;1266;37
311;500.0;1304;41
312;5.5;1433;41
313;5.0;1266;41
314;5.0;1175;41
315;500.0;1369;41
316;5.0;52544;41
317;500.0;1304;41
318;5.5;1433;41
319;5.0;1266;41
320;5.0;1175;41
321;500.0;1369;41
322;5.0;52544;41
323;200.0;1369;42
324;30.0;1175;42
325;55.0;52547;42
326;200.0;52537;42
327;2.5;1266;42
328;45.0;525;42
329;2.5;1328;42
330;1.25;819;42
331;200.0;1369;42
332;30.0;1175;42
333;55.0;52547;42
334;200.0;52537;42
335;2.5;1266;42
336;45.0;525;42
337;2.5;1328;42
338;1.25;819;42
339;350.0;52537;43
340;5.0;1433;43
341;45.0;1175;43
342;1.5;1266;43
343;500.0;1369;43
344;15.0;52544;43
345;55.0;52547;43
346;350.0;52537;43
347;5.0;1433;43
348;45.0;1175;43
349;1.5;1266;43
350;500.0;1369;43
351;15.0;52544;43
352;55.0;52547;43
353;400.0;3149;44
354;165.0;52547;44
355;100.0;1175;44
356;1.0;1328;44
357;750.0;1369;44
358;800.0;1431;44
359;15.0;52544;44
360;400.0;3149;44
361;165.0;52547;44
362;100.0;1175;44
363;1.0;1328;44
364;750.0;1369;44
365;800.0;1431;44
366;15.0;52544;44
372;500.0;52537;46
373;110.0;52547;46
374;160.0;1369;46
375;30.0;1175;46
376;70.0;52544;46
377;2.5;1328;46
378;15.0;52537;46
379;-1;1266;46
380;500.0;52537;46
381;110.0;52547;46
382;160.0;1369;46
383;30.0;1175;46
384;70.0;52544;46
385;2.5;1328;46
386;15.0;52537;46
387;-1;1266;46
388;400.0;1088;47
389;55.0;52547;47
390;30.0;1175;47
391;-1;1266;47
392;5.0;1219;47
393;40.0;915;47
394;30.0;52544;47
395;400.0;1088;47
396;55.0;52547;47
397;30.0;1175;47
398;-1;1266;47
399;5.0;1219;47
400;40.0;915;47
401;30.0;52544;47
405;110.0;52547;49
406;30.0;1175;49
407;250.0;52547;49
408;250.0;1304;49
409;30.0;52544;49
410;250.0;1369;49
411;1.0;1266;49
412;1.0;1328;49
413;110.0;52547;49
414;30.0;1175;49
415;250.0;52547;49
416;250.0;1304;49
417;30.0;52544;49
418;250.0;1369;49
419;1.0;1266;49
420;1.0;1328;49
421;300.0;1369;50
422;50.0;1175;50
423;100.0;3149;50
424;2.5;1266;50
425;2.5;1328;50
426;400.0;1088;50
427;165.0;52547;50
428;100.0;1175;50
429;5.0;1219;50
430;300.0;1369;50
431;50.0;1175;50
432;100.0;3149;50
433;2.5;1266;50
434;2.5;1328;50
435;400.0;1088;50
436;165.0;52547;50
437;100.0;1175;50
438;5.0;1219;50
496;200.0;1369;62
497;50.0;1175;62
498;60.0;1176;62
499;30.0;4869;62
500;60.0;3149;62
501;5.0;777;62
502;5.0;1449;62
503;2.5;806;62
504;2.5;776;62
505;5.0;1328;62
506;75.0;1304;62
507;200.0;1369;62
508;50.0;1175;62
509;60.0;1176;62
510;30.0;4869;62
511;60.0;3149;62
512;5.0;777;62
513;5.0;1449;62
514;2.5;806;62
515;2.5;776;62
516;5.0;1328;62
517;75.0;1304;62
518;250.0;1369;63
519;110.0;52547;63
520;15.0;735;63
521;2.5;1266;63
522;250.0;52544;63
523;45.0;761;63
524;250.0;1369;63
525;110.0;52547;63
526;15.0;735;63
527;2.5;1266;63
528;250.0;52544;63
529;45.0;761;63
552;500.0;52547;70
553;110.0;52547;70
554;500.0;1369;70
555;30.0;1175;70
556;70.0;3149;70
557;5.0;1328;70
558;2.5;1266;70
559;500.0;52547;70
560;110.0;52547;70
561;500.0;1369;70
562;30.0;1175;70
563;70.0;3149;70
564;5.0;1328;70
565;2.5;1266;70
577;150.0;52547;73
578;200.0;1369;73
579;55.0;52547;73
